"name","path","type","size","parent"
"JDBC.md","..\homework-07\dir-01\JDBC.md","file",6345,"dir-01"
"kafka.md","..\homework-07\dir-01\test-dir\kafka.md","file",99482,"test-dir"
"work1.py","..\homework-07\dir-01\test-dir\work1.py","file",610,"test-dir"
"test-dir","..\homework-07\dir-01\test-dir","directory",100092,"dir-01"
"work1.py","..\homework-07\dir-01\work1.py","file",674,"dir-01"
"work2.py","..\homework-07\dir-01\work2.py","file",733,"dir-01"
"work3.py","..\homework-07\dir-01\work3.py","file",619,"dir-01"
"dir-01","..\homework-07\dir-01","directory",108463,"homework-07"
"reserved.zip","..\homework-07\dir-02\reserved.zip","file",25632,"dir-02"
"dir-02","..\homework-07\dir-02","directory",25632,"homework-07"
"new-file.txt","..\homework-07\dir-03\new-file.txt","file",4,"dir-03"
"work2.py","..\homework-07\dir-03\work2.py","file",2459,"dir-03"
"work3.py","..\homework-07\dir-03\work3.py","file",3037,"dir-03"
"dir-03","..\homework-07\dir-03","directory",5500,"homework-07"
"work1.py","..\homework-07\work1.py","file",2160,"homework-07"
"work2.py","..\homework-07\work2.py","file",1861,"homework-07"
"work3.py","..\homework-07\work3.py","file",1114,"homework-07"
"work4.py","..\homework-07\work4.py","file",934,"homework-07"
"..\homework-07","","directory",145664,""
