Author,Title,Date
"Жюль Верн Г","20000 лье под водой",1869
"Булычев К","Девочка с Земли",1974
"Булычев К","Марсианское зелье",1987
"Гамильтон","Звездные короли",1947
"Сетон-Томпсон","Маленькие дикари",1903
"Купер Ф","Последний из Могикан",1826
"Купер Ф","Следопыт",1840
"Гамильтон","Город на краю света",1951
"Гамильтон","Возвращение к Звёздам",1969
"Хайнлайн Р","Пасынки Вселенной",1977
"Хайнлайн Р","Астронавт Джонс",1953
"Азимов А","Сами боги",1972
"Герберт Ф","Dune",1963
"Купер Ф","Зверобой",1841
"Жюль Верн Г","Таинственный остров",1874
"Казанцев А","Планета бурь",1959
"Ефремов И","Туманность Андромеды",1955
"Казанцев А","Фаэты",1974
"Лондон Д","В далеком краю",1899
